Domain	Supergroup	Division	Class	Order	Family	Genus	Last	Size.min	Size.max	Cover	Shape	Spicule	Symmetry	Polarity	Colony	Motility	Plast	Ingestion.mode	Biotic.interaction	Resting.stage	Suspected.trophism	Source.1	Source.2	Source.3	Source.4	IN.OUT
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Chlamydomonadales_XX	Chlamydomonadales	NA	NA	Organic	Elongated	No spicule	Bilateral	Heteropolar	NA	Swimmer	Plast	Osmotrophic or no ingestion	No	Resting stage	Phototroph	"Bérard-Therriault L, Poulin M, Bossé L. : Guide d’identification du phytoplancton marin de l’estuaire et du golfe du Saint-Laurent: incluant également certains protozoaires. 1999. Les Presses Scientifiques du CNRC, Ottawa."	NA	NA	NA	Yes
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Chlamydomonas	Chlamydomonas	4	20	Organic	Elongated	No spicule	Bilateral	Heteropolar	No colony	Swimmer	Plast	Osmotrophic or no ingestion	No	Resting stage	Phototroph	"M.D. Guiry in Guiry, M.D. & Guiry, G.M. 2021. AlgaeBase. World-wide electronic publication, National University of Ireland, Galway. http://www.algaebase.org; searched on 31 October 2021"	NA	NA	NA	Yes
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Chlamydopodium	Chlamydopodium	15	50	Organic	Round	No spicule	Bilateral	Heteropolar	No colony	Floater	Plast	Osmotrophic or no ingestion	No	Resting stage	Phototroph	"M.D. Guiry in Guiry, M.D. & Guiry, G.M. 2021. AlgaeBase. World-wide electronic publication, National University of Ireland, Galway. http://www.algaebase.org; searched on 31 October 2021"	NA	NA	NA	Yes
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Chlorococcum	Chlorococcum	4	60	Organic	Round	No spicule	Bilateral	Heteropolar	Round	Floater	Plast	Osmotrophic or no ingestion	No	Resting stage	Phototroph	"Archibald P. A. and Bold H. C. : Phycological Studies XI. The Genus Chlorococcum Meneghini, Austin, Texas., 1970"	"Adl S., Simpson A., Lane C., Lukeš J., Bass D., Bowser S., Brown M., Burki F., Dunthorn M., Hampl V., Heiss A., Hoppenrath M., Lara E., Le Gall L., Lynn D., Mcmanus H., Mitchell E., Mozley-Stanridge S., Parfrey L., Pawlowski J., Rueckert S., Shadwick L., Schoch C., Smirnov A., Spiegel F. : The Revised Classification of Eukaryotes, Journal of Eukaryotic Microbiology, 2012, 59(5), 429-514, doi: 10.1111/j.1550-7408.2012.00644.x"	"Proschold T. : Molecular Phylogeny and Taxonomic Revision of (Chlorophyta). I. Emendation of Ehrenberg and Gobi, and Description of gen. nov. and gen. nov., Protist, 2001, 152(4), 265-300, doi: 10.1078/1434-4610-00068"	NA	Yes
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Chloromonas	Chloromonas	10	30	Organic	Elongated	No spicule	Bilateral	Heteropolar	No colony	Swimmer	Plast	Osmotrophic or no ingestion	No	Resting stage	Phototroph	"Duval B. and Hoham R. W. : Snow algae in the northeastern US: Photomicrographs, observations, and distribution of Chloromonas spp. (Chlorophyta), Rhodora, 2000, 102(911), 365-372"	"Hoham R., Berman J., Rogers H., Felio J., Ryba J., Miller P. : Two new species of green snow algae from Upstate New York, Chloromonas chenangoensis sp. nov. and Chloromonas tughillensis sp. nov. (Volvocales, Chlorophyceae) and the effects of light on their life cycle development, Phycologia, 2006, 45(3), 319-330, doi: 10.2216/04-103.1"	"Adl S., Simpson A., Lane C., Lukeš J., Bass D., Bowser S., Brown M., Burki F., Dunthorn M., Hampl V., Heiss A., Hoppenrath M., Lara E., Le Gall L., Lynn D., Mcmanus H., Mitchell E., Mozley-Stanridge S., Parfrey L., Pawlowski J., Rueckert S., Shadwick L., Schoch C., Smirnov A., Spiegel F. : The Revised Classification of Eukaryotes, Journal of Eukaryotic Microbiology, 2012, 59(5), 429-514, doi: 10.1111/j.1550-7408.2012.00644.x"	NA	Yes
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Dysmorphococcus	Dysmorphococcus	20	28	Organic	Round	No spicule	Bilateral	Heteropolar	No colony	Swimmer	Plast	Osmotrophic or no ingestion	No	Resting stage	Phototroph	https://www.ccap.ac.uk/catalogue/strain-20-1?search=Dysmorphococcus	"Hepperle D., Nozaki H., Hohenberger S., Huss V., Morita E., Krienitz L. : Phylogenetic Position of the Phacotaceae Within the Chlamydophyceae as Revealed by Analysis of 18S rDNA and rbcL Sequences, Journal of Molecular Evolution, 1998, 47(4), 420-430, doi: 10.1007/pl00006399"	NA	NA	Yes
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Gloeocystis	Gloeocystis	4	23	Organic	Round	No spicule	Bilateral	Heteropolar	Round	Floater	Plast	Osmotrophic or no ingestion	No	Resting stage	Phototroph	https://www.ccap.ac.uk/catalogue/strain-31-4?search=Gloeocystis	"Bellinger E. G. and Sigee D. C. : Freshwater Algae: Identification, Enumeration and Use as Bioindicators. John Wiley & Sons, Inc, 2015. doi: 10.1002/9781118917152"	NA	NA	Yes
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Haematococcus	Haematococcus	8	30	Organic	Round	No spicule	Bilateral	Heteropolar	No colony	Floater	Plast	Osmotrophic or no ingestion	No	Resting stage	Phototroph	"Bellinger E. G. and Sigee D. C. : Freshwater Algae: Identification, Enumeration and Use as Bioindicators. John Wiley & Sons, Inc, 2015. doi: 10.1002/9781118917152"	NA	NA	NA	Yes
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Hafniomonas	Hafniomonas	10	17	Organic	Elongated	No spicule	Bilateral	Heteropolar	No colony	Swimmer	Plast	Osmotrophic or no ingestion	No	Resting stage	Phototroph	"Nakada T., Suda S., Nozaki H. : A TAXONOMIC STUDY OFHAFNIOMONAS(CHLOROPHYCEAE) BASED ON A COMPARATIVE EXAMINATION OF CULTURED MATERIAL, Journal of Phycology, 2007, 43(2), 397-411, doi: 10.1111/j.1529-8817.2007.00328.x"	"Adl S., Simpson A., Lane C., Lukeš J., Bass D., Bowser S., Brown M., Burki F., Dunthorn M., Hampl V., Heiss A., Hoppenrath M., Lara E., Le Gall L., Lynn D., Mcmanus H., Mitchell E., Mozley-Stanridge S., Parfrey L., Pawlowski J., Rueckert S., Shadwick L., Schoch C., Smirnov A., Spiegel F. : The Revised Classification of Eukaryotes, Journal of Eukaryotic Microbiology, 2012, 59(5), 429-514, doi: 10.1111/j.1550-7408.2012.00644.x"	"Proschold T. : Molecular Phylogeny and Taxonomic Revision of (Chlorophyta). I. Emendation of Ehrenberg and Gobi, and Description of gen. nov. and gen. nov., Protist, 2001, 152(4), 265-300, doi: 10.1078/1434-4610-00068"	NA	Yes
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Lobochlamys	Lobochlamys	10	18	Organic	Elongated	No spicule	Bilateral	Heteropolar	No colony	Swimmer	Plast	Osmotrophic or no ingestion	No	Resting stage	Phototroph	"M.D. Guiry in Guiry, M.D. & Guiry, G.M. 2021. AlgaeBase. World-wide electronic publication, National University of Ireland, Galway. http://www.algaebase.org; searched on 31 October 2021"	NA	NA	NA	Yes
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Oogamochlamys	Oogamochlamys	16	50	Organic	Round	No spicule	Bilateral	Heteropolar	Round	Floater	Plast	Osmotrophic or no ingestion	No	Resting stage	Phototroph	"M.D. Guiry in Guiry, M.D. & Guiry, G.M. 2021. AlgaeBase. World-wide electronic publication, National University of Ireland, Galway. http://www.algaebase.org; searched on 31 October 2021"	NA	NA	NA	Yes
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Paulschulzia	Paulschulzia	10	20	Organic	Round	No spicule	Bilateral	Heteropolar	Round	Floater	Plast	Osmotrophic or no ingestion	No	Resting stage	Phototroph	https://www.ccap.ac.uk/catalogue/strain-58-3?search=Paulschulzia	"M.D. Guiry in Guiry, M.D. & Guiry, G.M. 2021. AlgaeBase. World-wide electronic publication, National University of Ireland, Galway. http://www.algaebase.org; searched on 31 October 2021"	NA	NA	Yes
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Pleurastrum	Pleurastrum	3	10	Organic	Round	No spicule	Bilateral	Heteropolar	Round	Floater	Plast	Osmotrophic or no ingestion	No	Resting stage	Phototroph	"M.D. Guiry in Guiry, M.D. & Guiry, G.M. 2021. AlgaeBase. World-wide electronic publication, National University of Ireland, Galway. http://www.algaebase.org; searched on 31 October 2021"	NA	NA	NA	Yes
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadales_X	Tetrabaena	Tetrabaena	15	30	Organic	Round	No spicule	Bilateral	Heteropolar	Round	Floater	Plast	Osmotrophic or no ingestion	No	Resting stage	Phototroph	"Arakaki Y., Kawai-Toyooka H., Hamamura Y., Higashiyama T., Noga A., Hirono M., Olson B., Nozaki H. : The Simplest Integrated Multicellular Organism Unveiled, PLoS ONE, 2013, 8(12), e81641, doi: 10.1371/journal.pone.0081641"	NA	NA	NA	Yes
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlamydomonadales	Coccomyxaceae	Coccomyxa	Coccomyxa	1	11	Organic	Round	No spicule	Bilateral	Isopolar	No colony	Floater	Plast	Osmotrophic or no ingestion	Parasite	Resting stage	Phototroph	"Crespo C., Rodríguez H., Segade P., Iglesias R., García-Estévez J. : Coccomyxa sp. (Chlorophyta: Chlorococcales), a new pathogen in mussels (Mytilus galloprovincialis) of Vigo estuary (Galicia, NW Spain), Journal of Invertebrate Pathology, 2009, 102(3), 214-219, doi: 10.1016/j.jip.2009.08.010"	"Adl S., Simpson A., Lane C., Lukeš J., Bass D., Bowser S., Brown M., Burki F., Dunthorn M., Hampl V., Heiss A., Hoppenrath M., Lara E., Le Gall L., Lynn D., Mcmanus H., Mitchell E., Mozley-Stanridge S., Parfrey L., Pawlowski J., Rueckert S., Shadwick L., Schoch C., Smirnov A., Spiegel F. : The Revised Classification of Eukaryotes, Journal of Eukaryotic Microbiology, 2012, 59(5), 429-514, doi: 10.1111/j.1550-7408.2012.00644.x"	NA	NA	Yes
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Chlorophyceae_X	Chlorophyceae_XX	Treubaria	Treubaria	6	30	Organic	Round	Spicule	Spherical	Isopolar	No colony	NA	Plast	Osmotrophic or no ingestion	No	NA	Phototroph	"M.D. Guiry in Guiry, M.D. & Guiry, G.M. 2021. AlgaeBase. World-wide electronic publication, National University of Ireland, Galway. http://www.algaebase.org; searched on 31 October 2021"	NA	NA	NA	Yes
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Oedogoniales	Oedogoniales_X	Oedogonium	Oedogonium	10	40	Organic	Elongated	No spicule	Bilateral	Heteropolar	Elongated	Attached	Plast	Osmotrophic or no ingestion	No	Resting stage	Phototroph	"Bellinger E. G. and Sigee D. C. : Freshwater Algae: Identification, Enumeration and Use as Bioindicators. John Wiley & Sons, Inc, 2015. doi: 10.1002/9781118917152"	NA	NA	NA	Yes
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Sphaeropleales	Selenastraceae	Monoraphidium	Monoraphidium	16	22.5	Organic	Elongated	No spicule	Bilateral	Heteropolar	No colony	Floater	Plast	Osmotrophic or no ingestion	No	Resting stage	Phototroph	"Ramos G., Bicudo C., Góes Neto A., Moura C. : Monoraphidium and Ankistrodesmus (Chlorophyceae, Chlorophyta) from Pantanal dos Marimbus, Chapada Diamantina, Bahia State, Brazil, Hoehnea, 2012, 39(3), 421-434, doi: 10.1590/s2236-89062012000300006"	"Deason T., Silva P., Watanabe S., Floyd G. : Taxonomic status of the species of the green algal genusNeochloris, Plant Systematics and Evolution, 1991, 177(3-4), 213-219, doi: 10.1007/bf00937958"	"Lewis L., Mccourt R. : Green algae and the origin of land plants, American Journal of Botany, 2004, 91(10), 1535-1556, doi: 10.3732/ajb.91.10.1535"	"Lin Y., Ge J., Zhang Y., Ling H., Yan X., Ping W. : Monoraphidium sp. HDMA-20 is a new potential source of α-linolenic acid and eicosatetraenoic acid, Lipids in Health and Disease, 2019, 18(1), doi: 10.1186/s12944-019-0996-5"	Yes
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Sphaeropleales	Sphaeropleales_X	Ankistrodesmus	Ankistrodesmus	20	165	Organic	Elongated	No spicule	Bilateral	Heteropolar	Round	Floater	Plast	Osmotrophic or no ingestion	No	NA	Phototroph	"Bellinger E. G. and Sigee D. C. : Freshwater Algae: Identification, Enumeration and Use as Bioindicators. John Wiley & Sons, Inc, 2015. doi: 10.1002/9781118917152"	NA	NA	NA	Yes
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Sphaeropleales	Sphaeropleales_X	Ankyra	Ankyra	15	150	Organic	Elongated	No spicule	Bilateral	Heteropolar	No colony	Floater	Plast	Osmotrophic or no ingestion	No	NA	Phototroph	"Bellinger E. G. and Sigee D. C. : Freshwater Algae: Identification, Enumeration and Use as Bioindicators. John Wiley & Sons, Inc, 2015. doi: 10.1002/9781118917152"	http://cfb.unh.edu/phycokey/Choices/Chlorophyceae/unicells/non_flagellated/ANKYRA/Ankyra_key.html	NA	NA	Yes
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Sphaeropleales	Sphaeropleales_X	Bracteacoccus	Bracteacoccus	10	100	Organic	Round	No spicule	Spherical	Heteropolar	No colony	Floater	Plast	Osmotrophic or no ingestion	No	Resting stage	Phototroph	"M.D. Guiry in Guiry, M.D. & Guiry, G.M. 2021. AlgaeBase. World-wide electronic publication, National University of Ireland, Galway. http://www.algaebase.org; searched on 31 October 2021"	NA	NA	NA	Yes
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Sphaeropleales	Sphaeropleales_X	Characiopodium	Characiopodium	NA	NA	Organic	Elongated	No spicule	Bilateral	Heteropolar	No colony	Attached	Plast	Osmotrophic or no ingestion	No	Resting stage	Phototroph	"M.D. Guiry in Guiry, M.D. & Guiry, G.M. 2021. AlgaeBase. World-wide electronic publication, National University of Ireland, Galway. http://www.algaebase.org; searched on 31 October 2021"	NA	NA	NA	Yes
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Sphaeropleales	Sphaeropleales_X	Coenochloris	Coenochloris	3	12	Organic	Round	No spicule	Spherical	Heteropolar	Round	Floater	Plast	Osmotrophic or no ingestion	No	Resting stage	Phototroph	"M.D. Guiry in Guiry, M.D. & Guiry, G.M. 2021. AlgaeBase. World-wide electronic publication, National University of Ireland, Galway. http://www.algaebase.org; searched on 31 October 2021"	NA	NA	NA	Yes
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Sphaeropleales	Sphaeropleales_X	Desmodesmus	Desmodesmus	5	20	Organic	Round	Spicule	Bilateral	Heteropolar	Elongated	Floater	Plast	Osmotrophic or no ingestion	No	Resting stage	Phototroph	"Olenina I., Hajdu S., Edler L., Wasmund N., Busch S., Gébel J., Gromisz S., Huseby S., Huttunen M., Jaanus A., Kokkonen P., Ledaine I. and Niemkiewicz E. : Biovolumes and size-classes of phytoplankton in the Baltic Sea, HELCOM Balt.Sea Environ. Proc., 2006, 106(106), 144"	"Deason T., Silva P., Watanabe S., Floyd G. : Taxonomic status of the species of the green algal genusNeochloris, Plant Systematics and Evolution, 1991, 177(3-4), 213-219, doi: 10.1007/bf00937958"	"Lewis L., Mccourt R. : Green algae and the origin of land plants, American Journal of Botany, 2004, 91(10), 1535-1556, doi: 10.3732/ajb.91.10.1535"	NA	Yes
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Sphaeropleales	Sphaeropleales_X	Mychonastes	Mychonastes	5	30	Organic	Round	No spicule	Bilateral	Isopolar	Round	Floater	Plast	Osmotrophic or no ingestion	No	NA	Phototroph	"M.D. Guiry in Guiry, M.D. & Guiry, G.M. 2021. AlgaeBase. World-wide electronic publication, National University of Ireland, Galway. http://www.algaebase.org; searched on 31 October 2021"	NA	NA	NA	Yes
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Sphaeropleales	Sphaeropleales_X	Planktosphaeria	Planktosphaeria	4.5	25	Organic	Round	No spicule	Bilateral	Isopolar	Round	Floater	Plast	Osmotrophic or no ingestion	No	NA	Phototroph	"M.D. Guiry in Guiry, M.D. & Guiry, G.M. 2021. AlgaeBase. World-wide electronic publication, National University of Ireland, Galway. http://www.algaebase.org; searched on 31 October 2021"	NA	NA	NA	Yes
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Sphaeropleales	Sphaeropleales_X	Protodesmus	Protodesmus	NA	NA	Organic	NA	No spicule	NA	NA	NA	Floater	Plast	Osmotrophic or no ingestion	NA	NA	Phototroph	"M.D. Guiry in Guiry, M.D. & Guiry, G.M. 2021. AlgaeBase. World-wide electronic publication, National University of Ireland, Galway. http://www.algaebase.org; searched on 31 October 2021"	NA	NA	NA	Yes
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Sphaeropleales	Sphaeropleales_X	Pseudomuriella	Pseudomuriella	NA	NA	Organic	Round	No spicule	Spherical	Isopolar	No colony	Floater	Plast	Osmotrophic or no ingestion	No	Resting stage	Phototroph	"Fučíková K., Lewis P., Lewis L. : Putting incertae sedis taxa in their place: a proposal for ten new families and three new genera in Sphaeropleales (Chlorophyceae, Chlorophyta), Journal of Phycology, 2013, 50(1), 14-25, doi: 10.1111/jpy.12118"	NA	NA	NA	Yes
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Sphaeropleales	Sphaeropleales_X	Pseudopediastrum	Pseudopediastrum	NA	NA	Organic	Round	No spicule	Bilateral	Isopolar	Round	Floater	Plast	Osmotrophic or no ingestion	No	NA	Phototroph	"Jena M., Bock C., Behera C., Adhikary S., Krienitz L. : Strain survey on three continents confirms the polyphyly of the genus Pediastrum (Hydrodictyaceae, Chlorophyceae)., Fottea, 2014, 14(1), 63-76, doi: 10.5507/fot.2014.005"	NA	NA	NA	Yes
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Sphaeropleales	Sphaeropleales_X	Radiococcus	Radiococcus	3	15	Organic	Round	No spicule	Spherical	Isopolar	Elongated	Floater	Plast	Osmotrophic or no ingestion	No	NA	Phototroph	"M.D. Guiry in Guiry, M.D. & Guiry, G.M. 2021. AlgaeBase. World-wide electronic publication, National University of Ireland, Galway. http://www.algaebase.org; searched on 31 October 2021"	NA	NA	NA	Yes
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Sphaeropleales	Sphaeropleales_X	Scenedesmus	Scenedesmus	3	78	Organic	Elongated	Spicule	Bilateral	Heteropolar	Elongated	Floater	Plast	Osmotrophic or no ingestion	No	Resting stage	Phototroph	"M.D. Guiry in Guiry, M.D. & Guiry, G.M. 2021. AlgaeBase. World-wide electronic publication, National University of Ireland, Galway. http://www.algaebase.org; searched on 31 October 2021"	NA	NA	NA	Yes
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Sphaeropleales	Sphaeropleales_X	Tetraedron	Tetraedron	8	22	Organic	Elongated	Spicule	Asymetrical	Isopolar	Round	Floater	Plast	Osmotrophic or no ingestion	No	Resting stage	Phototroph	"Bellinger E. G. and Sigee D. C. : Freshwater Algae: Identification, Enumeration and Use as Bioindicators. John Wiley & Sons, Inc, 2015. doi: 10.1002/9781118917152"	"M.D. Guiry in Guiry, M.D. & Guiry, G.M. 2021. AlgaeBase. World-wide electronic publication, National University of Ireland, Galway. http://www.algaebase.org; searched on 31 October 2021"	NA	NA	Yes
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Sphaeropleales	Sphaeropleales_X	Coelastrella	Coelastrella	6	13	Organic	Round	No spicule	Spherical	Isopolar	No colony	Floater	Plast	Osmotrophic or no ingestion	No	NA	Phototroph	"Goecke F., Noda J., Paliocha M., Gislerød HR. : Revision of Coelastrella (Scenedesmaceae, Chlorophyta) and first register of this green coccoid microalga for continental Norway, World Journal of Microbiology and Biotechnology, 2020, 36(10), null, doi: 10.1007/s11274-020-02897-0"	NA	NA	NA	Yes
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Sphaeropleales	Sphaeropleales_X	NA	Sphaeropleales	NA	NA	Organic	NA	NA	NA	NA	NA	NA	Plast	Osmotrophic or no ingestion	NA	NA	Phototroph	NA	NA	NA	NA	Yes
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	NA	NA	NA	Chlorophyceae	NA	NA	Organic	NA	NA	NA	NA	NA	NA	Plast	Osmotrophic or no ingestion	No	NA	Phototroph	NA	NA	NA	NA	Yes
Eukaryota	Archaeplastida	Chlorophyta	Chlorophyta_X	Chlorophyta_XX	Chlorophyta_XXX	Scotinosphaera	Scotinosphaera	12	213	Organic	Elongated	No spicule	Bilateral	Heteropolar	No colony	Floater	Plast	Osmotrophic or no ingestion	No	Resting stage	Phototroph	"Klin M., Kowalska Z., Pniewski F., Latała A. : First record of the freshwater green alga Scotinosphaera austriaca from the Baltic Sea, Plant and Fungal Systematics, 2018, 63(2), 65-67, doi: 10.2478/pfs-2018-0008"	NA	NA	NA	Yes
Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Dolichomastigales	Crustomastigaceae	Crustomastigaceae-AB	Crustomastigaceae-AB	1.5	6	Organic	Round	No spicule	Bilateral	Heteropolar	No colony	Swimmer	Plast	Osmotrophic or no ingestion	No	No resting stage	Phototroph	"Marin B., Melkonian M. : Molecular Phylogeny and Classification of the Mamiellophyceae class. nov. (Chlorophyta) based on Sequence Comparisons of the Nuclear- and Plastid-encoded rRNA Operons, Protist, 2010, 161(2), 304-336, doi: 10.1016/j.protis.2009.10.002"	"Ohtsuka S., Suzaki T., Horiguchi T., Suzuki N., Not F. : Marine Protists: Diversity and Dynamics, Springer., edited by Springer, Tokyo., 2015"	NA	NA	Yes
Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Dolichomastigales	Crustomastigaceae	Crustomastigaceae-C	Crustomastigaceae-C	1.5	6	Organic	Round	No spicule	Bilateral	Heteropolar	No colony	Swimmer	Plast	Osmotrophic or no ingestion	No	No resting stage	Phototroph	"Marin B., Melkonian M. : Molecular Phylogeny and Classification of the Mamiellophyceae class. nov. (Chlorophyta) based on Sequence Comparisons of the Nuclear- and Plastid-encoded rRNA Operons, Protist, 2010, 161(2), 304-336, doi: 10.1016/j.protis.2009.10.002"	"Ohtsuka S., Suzaki T., Horiguchi T., Suzuki N., Not F. : Marine Protists: Diversity and Dynamics, Springer., edited by Springer, Tokyo., 2015"	NA	NA	Yes
Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Dolichomastigales	Crustomastigaceae	Crustomastix	Crustomastix	1.5	6	Organic	Round	No spicule	Bilateral	Heteropolar	No colony	Swimmer	Plast	Osmotrophic or no ingestion	No	No resting stage	Phototroph	"Marin B., Melkonian M. : Molecular Phylogeny and Classification of the Mamiellophyceae class. nov. (Chlorophyta) based on Sequence Comparisons of the Nuclear- and Plastid-encoded rRNA Operons, Protist, 2010, 161(2), 304-336, doi: 10.1016/j.protis.2009.10.002"	NA	NA	NA	Yes
Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Dolichomastigales	Crustomastigaceae	NA	Crustomastigaceae	1.5	6	Organic	Round	No spicule	Bilateral	Heteropolar	No colony	Swimmer	Plast	Osmotrophic or no ingestion	No	No resting stage	Phototroph	"Marin B., Melkonian M. : Molecular Phylogeny and Classification of the Mamiellophyceae class. nov. (Chlorophyta) based on Sequence Comparisons of the Nuclear- and Plastid-encoded rRNA Operons, Protist, 2010, 161(2), 304-336, doi: 10.1016/j.protis.2009.10.002"	"Ohtsuka S., Suzaki T., Horiguchi T., Suzuki N., Not F. : Marine Protists: Diversity and Dynamics, Springer., edited by Springer, Tokyo., 2015"	NA	NA	Yes
Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Dolichomastigales	Dolichomastigaceae	Dolichomastigaceae-A	Dolichomastigaceae-A	NA	NA	Organic	Round	No spicule	Bilateral	Heteropolar	NA	NA	Plast	Osmotrophic or no ingestion	No	No resting stage	Phototroph	"Marin B., Melkonian M. : Molecular Phylogeny and Classification of the Mamiellophyceae class. nov. (Chlorophyta) based on Sequence Comparisons of the Nuclear- and Plastid-encoded rRNA Operons, Protist, 2010, 161(2), 304-336, doi: 10.1016/j.protis.2009.10.002"	NA	NA	NA	Yes
Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Dolichomastigales	Dolichomastigaceae	Dolichomastigaceae-B	Dolichomastigaceae-B	NA	NA	Organic	Round	No spicule	Bilateral	Heteropolar	NA	NA	Plast	Osmotrophic or no ingestion	No	No resting stage	Phototroph	"Marin B., Melkonian M. : Molecular Phylogeny and Classification of the Mamiellophyceae class. nov. (Chlorophyta) based on Sequence Comparisons of the Nuclear- and Plastid-encoded rRNA Operons, Protist, 2010, 161(2), 304-336, doi: 10.1016/j.protis.2009.10.002"	NA	NA	NA	Yes
Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Dolichomastigales	Dolichomastigaceae	Dolichomastix	Dolichomastix	3	4.5	Organic	Round	No spicule	Bilateral	Heteropolar	No colony	Swimmer	Plast	Osmotrophic or no ingestion	No	No resting stage	Phototroph	"Throndsen, J. and Zingone, A.: Dolichomastix tenuilepis sp. nov., a first insight into the microanatomy of the genus Dolichomastix (Mamiellales, Prasinophyceae, Chlorophyta), Phycologia, 36(3), 244_254, doi: 10.2216/i0031-8884-36-3-244.1, 1997."	"Marin B., Melkonian M. : Molecular Phylogeny and Classification of the Mamiellophyceae class. nov. (Chlorophyta) based on Sequence Comparisons of the Nuclear- and Plastid-encoded rRNA Operons, Protist, 2010, 161(2), 304-336, doi: 10.1016/j.protis.2009.10.002"	"Ohtsuka S., Suzaki T., Horiguchi T., Suzuki N., Not F. : Marine Protists: Diversity and Dynamics, Springer., edited by Springer, Tokyo., 2015"	NA	Yes
Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Dolichomastigales	NA	NA	Dolichomastigales	NA	NA	Organic	Round	No spicule	Bilateral	Heteropolar	NA	NA	Plast	Osmotrophic or no ingestion	No	No resting stage	Phototroph	"Marin B., Melkonian M. : Molecular Phylogeny and Classification of the Mamiellophyceae class. nov. (Chlorophyta) based on Sequence Comparisons of the Nuclear- and Plastid-encoded rRNA Operons, Protist, 2010, 161(2), 304-336, doi: 10.1016/j.protis.2009.10.002"	NA	NA	NA	Yes
Eukaryota	Archaeplastida	Chlorophyta	Mamiellophyceae	Monomastigales	Monomastigaceae	Monomastigaceae_X	Monomastigaceae	NA	NA	Organic	Round	No spicule	Bilateral	Heteropolar	No colony	NA	Plast	Osmotrophic or no ingestion	No	No resting stage	Phototroph	"Vaulot D., Eikrem W., Viprey M., Moreau H. : The diversity of small eukaryotic phytoplankton (≤3 μm) in marine ecosystems, FEMS Microbiology Reviews, 2008, 32(5), 795-820, doi: 10.1111/j.1574-6976.2008.00121.x"	NA	NA	NA	Yes
